Title,Date Created,Latitude,Longitude,Northing,Easting,Description,Elevation
A,2024-10-25T09:08:13Z,47.99411415547067,7.858801470886746,0,0,1,370.502761
B,2024-10-25T09:14:30Z,47.99424454873357,7.859244834176952,0,0,2,383.791578
C,2024-10-25T09:14:52Z,47.99419870795679,7.8591496444742965,0,0,2,380.889356
D,2024-10-25T09:15:05Z,47.99413817319757,7.859205830635845,0,0,4,381.212844
E,2024-10-25T09:15:25Z,47.9941346007057,7.859231645375436,0,0,2,381.420026
F,2024-10-25T09:18:31Z,47.993874972980365,7.860037014071476,0,0,2,380.368798
G,2024-10-25T09:27:45Z,47.99482006483638,7.862194083534268,0,0,5,429.343044
H,2024-10-25T09:33:52Z,47.99505842914071,7.862054146988215,0,0,7,430.344558
I,2024-10-25T09:49:14Z,47.99536193178393,7.864118544545019,0,0,1,433.484525
J,2024-10-25T09:49:44Z,47.9955774764491,7.864075409954365,0,0,1,436.779261
K,2024-10-25T09:56:12Z,47.997409602829926,7.867350339134952,0,0,1,465.846028
L,2024-10-25T10:00:23Z,47.997173035200404,7.86625913184493,0,0,8,452.707523
M,2024-10-25T10:02:57Z,47.99651275886542,7.8657115722871005,0,0,9,452.44254
N,2024-10-25T10:07:29Z,47.99740654793238,7.865896016874803,0,0,6,436.369445
O,2024-10-25T10:09:41Z,47.99683524395346,7.864986389104311,0,0,4,420.937746
P,2024-10-25T10:22:36Z,47.99500910516389,7.859565634654867,0,0,4,377.595332
Q,2024-10-25T10:28:35Z,47.9942787168718,7.857827419591732,0,0,7,348.884109
