"Title",Date Created,Latitude,Longitude,Northing,Easting,Description,Elevation
A,2024-10-25T09:08:13Z,47.994118110562724,7.858814457848559,0,0,1,370.502761
B,2024-10-25T09:14:30Z,47.99423034000415,7.859275969500134,0,0,2,383.791578
C,2024-10-25T09:14:52Z,47.99419916829894,7.8591802173597225,0,0,2,380.889356
D,2024-10-25T09:15:05Z,47.99413064572409,7.859178262134232,0,0,3,381.212844
"E",2024-10-25T09:15:25Z,47.994135521931305,7.859235317936967,0,0,2,381.420026
F,2024-10-25T09:18:31Z,47.993862431051326,7.860034883950326,0,0,1,380.368798
G,2024-10-25T09:27:45Z,47.99479630820785,7.862175063651758,0,0,5,429.343044
H,2024-10-25T09:33:52Z,47.99496493505369,7.861934927034051,0,0,8,430.344558
I,2024-10-25T09:49:14Z,47.9953489774319,7.864124469380661,0,0,1,433.484525
J,2024-10-25T09:49:44Z,47.9955769434784,7.864077511083183,0,0,1,436.779261
K,2024-10-25T09:56:12Z,47.997400399065,7.867350770699842,0,0,1,465.846028
L,2024-10-25T10:00:23Z,47.99707175890889,7.866264114306133,0,0,8,452.707523
M,2024-10-25T10:02:57Z,47.99647744983545,7.865638530729738,0,0,9,452.44254
N,2024-10-25T10:07:29Z,47.9974205505126,7.865862457074337,0,0,6,436.369445
O,2024-10-25T10:09:41Z,47.996882515620236,7.865000636027923,0,0,4,420.937746
P,2024-10-25T10:22:36Z,47.99502918885926,7.859568417496775,0,0,4,377.595332
Q,2024-10-25T10:28:35Z,47.99424941607367,7.85796625260983,0,0,7,348.884109
